countedcars,appprocesstime,average_speed
7840,1,39
12880,0,38.87888199
22560,23,37.29787234
25480,22,34.63579278
32120,21,31.07347447
32240,20,26.1191067
31800,19,22.0163522
32640,18,33.18627451
31640,17,32.69279393
29840,16,28.08847185
31880,15,23.48933501
29680,14,31.37061995
28920,13,21.5186722
29000,12,31.26344828
30960,11,20.55684755
28120,10,9.698435277
34160,9,16.25995316
34520,8,34.38006952
12480,7,40.57371795
3280,6,41
1440,5,41
1560,4,41
2920,3,41
3600,2,41
8080,1,41
14600,0,40.05479452
22880,23,37.0472028
28640,22,34.27793296
29800,21,27.26040268
32680,20,25.74051408
33160,19,19.39324487
32760,18,32.94261294
30840,17,34.31776913
41120,16,26.10311284
42800,15,22.15514019
42720,14,27.46629213
37800,13,30.76084656
720,12,32
720,11,26
1160,10,36
55960,9,17.28663331
1080,8,42
520,7,38
160,6,42
120,5,42
0,4,0
80,3,42
4240,2,42
5280,2,39
3240,3,39
1520,4,39
1680,5,39
3640,6,39
12800,7,39.803125
34880,10,13.76949541
35160,8,38.04778157
36240,9,25.52759382
31520,14,32.81091371
33920,11,28.42924528
30000,12,32.216
31560,19,29.49556401
30600,13,31.18300654
33760,15,27.88981043
34880,16,32.80045872
6680,2,40
29880,17,35.11378849
33640,20,15.82877527
32080,18,30.23566085
33440,21,24.50598086
3400,3,40
29560,22,29.41407307
25040,23,36.53354633
32760,12,29.76800977
15000,0,40.02133333
2120,4,40
9240,1,39.98268398
17400,0,39.4
32880,13,29.55474453
2080,5,40
4080,6,40
13200,7,40.13333333
33360,14,30.91366906
33520,8,36.42601432
39000,9,21.63487179
11560,1,40
36160,15,25.83628319
36720,17,36.90849673
31960,10,9.857321652
35040,11,20.96347032
34640,16,29.16628176
35120,17,35.17767654
7160,2,40
31960,18,32.72841051
33720,19,28.02965599
4960,3,40
36120,20,19.10631229
29840,16,39.63136729
33800,21,29.76449704
29840,22,36.04423592
30000,18,38.20533333
3560,4,40
30760,23,38.34590377
2960,5,40
27640,19,38.95947902
4000,6,40
9320,7,40
20000,8,39.41
27200,20,36.99852941
22240,9,39.71402878
22720,21,35.92253521
23640,17,40.60575296
22960,23,39.79442509
30120,10,38.31474104
31680,11,36.52146465
35040,12,35.84589041
24560,22,38.59609121
40600,13,30.16059113
37560,14,34.65175719
32720,11,29.39608802
26360,23,39.35356601
38120,15,34.39559286
22520,18,40.53818828
39200,16,35.67244898
8000,1,43
15160,0,40.62796834
20160,19,40.04365079
39600,17,34.72626263
11320,1,40.72791519
9200,2,41
13680,0,41.26315789
21240,20,38.2787194
7760,3,40.60309278
5520,4,41
3920,5,41
19960,21,40.24048096
3640,6,41
7800,1,42
5400,7,41
19480,22,40.50718686
9120,8,41
11640,9,40.62886598
16680,10,41.15347722
16400,23,42.40243902
22040,11,41.70780399
28320,12,39.0960452
13720,0,42.61516035
38840,18,29.14521112
33840,13,36.95390071
4680,2,42
34880,14,37.43922018
31520,15,38.06598985
5920,2,43
2800,3,42
3920,3,43
1760,4,43
1880,4,42
1640,5,43
4120,6,43
46080,19,30.63888889
1640,5,42
13000,7,42.20307692
35520,8,38.44031532
38120,9,26.75341028
3480,6,42
34520,10,15.16454229
35400,11,25.69152542
12040,7,41.90033223
32400,12,32.69382716
31160,13,31.62901155
32120,14,34.10585305
46520,20,31.93207223
37280,8,36.78969957
37680,15,24.74416136
35560,9,24.78965129
32600,16,34.35337423
31000,17,37.34709677
31560,18,32.54499366
42440,21,31.1602262
32440,10,13.68434032
34040,19,28.10105758
32480,20,28.50862069
32680,21,30.26315789
25600,22,36.7203125
41080,22,37.57254138
28280,12,31.17821782
29480,13,32.192673
36960,23,38.78030303
30960,14,29.31395349
33880,15,23.82054309
31560,16,32.4626109
22080,0,40.39311594
25840,17,35.87306502
28000,18,30.28285714
13000,1,40.96615385
29600,19,28.1972973
29920,20,26.37299465
27840,21,28.22126437
27160,22,35.15316642
22120,23,38.39421338
13200,0,40.78181818
8640,1,41
3800,2,41
2800,3,41
1720,4,41
1560,5,41
3400,6,41
13000,7,40.76307692
34160,8,38.97189696
37080,9,25.41855448
36120,10,18.62236988
33720,11,33.37366548
29760,12,32.89247312
31200,13,32.06410256
31640,14,32.76611884
34240,15,29.66238318
40480,16,29.90909091
6800,2,41
4800,3,41
2640,4,41
3000,5,41
5120,6,41
17960,7,40.80400891
36440,10,17.03183315
42120,8,38.85375119
46320,9,25.72625216
31600,14,33.61518987
32320,11,32.76113861
29560,12,35.23815968
28360,13,34.25246827
32680,19,28.44920441
33200,15,31.58072289
31360,16,31.53443878
30920,20,25.24062096
30120,17,36.20717131
6200,2,41
29800,18,32.3704698
33960,21,31.78680801
4200,3,41
31320,22,28.2247765
24800,23,40.02741935
2160,4,41
31120,12,26.47300771
16080,0,40.93283582
8960,1,41
32400,13,31.79753086
1720,5,41
4120,6,41
17200,0,40.32790698
12800,7,40.85625
32040,14,32.33832709
35440,8,38.63995485
38640,9,19.14699793
37560,10,25.2172524
35240,15,30.84790011
11040,1,41.43478261
25400,11,27.01102362
37840,16,31.4217759
36600,17,33.8852459
33080,17,34.66263603
7120,2,41
30760,18,36.50845254
33960,19,27.91990577
5000,3,41
34960,20,28.97254005
33240,21,28.54873646
3560,4,41
31560,22,30.57667934
27840,18,28.55890805
29640,23,34.10661269
23720,16,40.71838111
26640,19,37.43843844
2200,5,41
4440,6,41
10440,7,41
26880,20,37.4047619
17920,8,41.12946429
22880,9,40.50174825
22800,21,38.24736842
28600,10,40.93146853
27160,23,38.57879234
32800,11,37.23170732
19800,17,41.93131313
36160,12,36.24336283
25240,22,37.21236133
39800,13,30.80904523
39720,14,31.55790534
37800,15,37.32804233
24640,23,39.39448052
20640,18,41.77906977
37880,16,34.11721225
16040,0,40.74812968
11840,1,41.72972973
19160,19,39.74321503
8320,1,43
10360,2,42
7200,3,42
22760,20,38.35325132
17080,0,42.26229508
3680,4,42
4040,5,42
32040,17,33.58052434
21920,21,39.65328467
3400,6,42
6440,7,42
20160,22,41.51388889
9000,8,41.64444444
10280,1,43
12040,9,41.3820598
14600,10,42.24383562
18280,23,42.78118162
17280,11,40.54861111
22320,12,38.86379928
29960,13,37.03070761
13480,0,43.08902077
28560,14,38.82773109
30520,18,35.38663172
6000,2,42.44
28560,15,37.29271709
5560,2,43
4280,3,43
3360,3,43
2160,4,43
2680,4,43
1960,5,43
3840,6,43
1680,5,43
14080,7,42.6875
34440,8,39.12195122
33680,19,31.17339667
36720,9,23.38671024
4040,6,43
35000,10,18.17257143
34160,11,29.3618267
30880,12,35.70466321
32480,20,30.40763547
14800,7,43.01081081
32600,13,34.92515337
36960,8,38.24458874
30840,14,36.10116732
35440,15,26.4503386
41240,9,25.05528613
34120,16,29.22274326
32080,17,35.68578554
31920,18,31.71052632
30640,21,35.38381201
35640,10,18.1694725
33160,19,30.43667069
34680,20,30.44867359
32960,11,28.07160194
32160,21,27.84079602
30200,22,35.15364238
27440,22,36.04227405
37400,12,32.32834225
38720,13,31.9607438
24880,23,38.00160772
44880,14,31.63547237
52400,15,34.38931298
44520,16,34.7115903
14440,0,41.10526316
40280,17,32.10923535
8760,1,42.12785388
42400,18,34.84339623
45960,19,27.71801567
40480,20,27.86561265
31520,21,29.68020305
29000,22,34.40551724
24920,23,39.60192616
13200,0,43.15757576
8280,1,43
4880,2,43
2960,3,43
1600,4,43
1560,5,43
3640,6,43
13960,7,42.50716332
35400,8,38.70169492
37480,9,24.19530416
34200,10,11.71578947
33040,11,26.93583535
30760,12,33.59687906
31360,13,35.18239796
32120,14,29.51805729
32440,15,33.02836005
33880,16,30.13105077
5840,2,42
3280,3,42
2160,4,42
1240,5,42
35480,9,21.53100338
4120,6,42
13040,7,41.12269939
34040,8,38.10575793
30640,12,33.09530026
36120,10,19.92801772
31600,11,35.05822785
32680,16,34.85924113
30120,13,28.80345286
30960,14,27.96511628
28800,22,35.44166667
27800,17,36.8676259
33440,15,30.11244019
29640,18,34.3022942
4400,6,41
26760,23,39.51270553
32000,19,28.7975
34080,20,29.66431925
30480,21,31.03412073
15880,0,39.75314861
13840,7,40.79479769
9280,1,41
31440,18,34.17175573
7440,2,41
3480,3,41
32120,8,37.26774595
1800,4,41
1840,5,41
37680,9,16.52972399
33920,19,30.85731132
28920,10,39.94882434
35400,10,13.26553672
33880,11,30.10743802
35480,20,28.77339346
26080,12,29.7392638
21120,13,32.39583333
33920,21,35.17688679
37680,14,33.47983015
32960,11,36.41383495
39240,15,27.55759429
34760,16,31.88837745
30120,17,33.91500664
30400,22,34.36842105
9160,8,42
27880,23,37.88235294
37280,12,35.95922747
19800,0,40.35757576
12480,1,42
10920,9,42
38240,13,30.56485356
8520,2,42
4880,3,42
4160,4,42
38560,14,32.79149378
2520,5,42
38040,15,33.99369085
4480,6,42
30320,14,36.07387863
9840,7,41.68699187
16880,10,41.992891
18280,8,40.90809628
39320,16,37.12614446
22200,9,41.12792793
34920,17,36.18785796
29520,18,36.74661247
22120,11,41.83905967
33160,15,26.19420989
27440,19,36.37317784
26280,12,39.84018265
25720,20,38.26905132
23520,21,37.39795918
23800,22,38.0789916
30120,13,39.65205843
24160,23,39.69701987
15400,0,41.72987013
31800,14,37.75471698
11800,1,40.91525424
3160,3,43
10320,2,42
29440,15,36.49456522
31720,16,32.9962169
6760,3,42
4720,4,42
3480,5,42
27920,16,40.91404011
3600,6,42
27720,17,37.07359307
6320,7,42
21160,17,42.14177694
8720,1,43
21400,18,40.48598131
2240,4,43
18920,19,42.36786469
31840,18,33.74120603
20560,20,39.9688716
20280,21,39.37080868
32280,19,26.43370508
20600,22,40.79417476
16080,23,42.89800995
34600,20,27.77225434
1600,5,43
13160,0,43.76291793
9240,1,43.79220779
5960,2,44
30560,21,33.91230366
3360,3,44
2200,4,44
26520,22,36.17948718
2120,5,44
3800,6,43.98947368
3680,6,42.73913043
13760,7,44.10465116
22840,23,38.06654991
34920,8,38.4696449
40000,9,24.439
12200,0,42.87213115
36880,10,22.47180043
31160,11,34.36842105
27040,12,34.35502959
12880,7,42.81055901
30640,13,31.36684073
4640,2,43
3280,3,43
34720,8,37.88940092
30040,18,35.25565912
2040,4,43
1640,5,43
35520,9,24.18693694
3480,6,43
12760,7,42.3322884
23240,10,11.22203098
34720,8,38.9297235
36160,9,19.92920354
17840,11,29.44394619
35360,10,28.29524887
30640,12,34.34725849
32600,11,22.24662577
29160,12,31.19478738
32080,13,33.29551122
31200,13,34.16410256
30720,14,36.66666667
32800,15,33.36097561
33400,14,29.29341317
33200,16,36.35421687
27480,17,35.75982533
29720,18,33.65679677
33360,15,26.33213429
34560,19,26.54976852
33240,20,21.05294826
31120,21,32.51799486
31680,16,32.19065657
27400,22,36.84525547
25080,23,40.3476874
32440,17,34.56720099
15880,0,41.98488665
8400,1,43
4920,2,43
33240,19,29.33935018
35640,20,22.17171717
29480,21,32.83446404
27360,22,35.89035088
23840,23,37.77516779
14560,0,42.19230769
7920,1,42
5240,2,42
3400,3,42
2120,4,41.98113208
11960,7,41.98996656
1560,5,42
3520,6,42
33920,10,10.7759434
35920,8,38.4610245
34880,9,23.17545872
30800,14,31.81038961
34280,11,19.93348891
27400,12,34.29489051
25560,13,31.16744914
29480,19,30.93080054
34680,15,24.51211073
34440,16,32.58768873
27320,17,37.42166911
30320,20,22.6939314
9080,2,42.05286344
31200,18,31.46025641
31200,21,23.48974359
31560,11,33.97718631
4440,3,42
27880,22,33.73601148
23560,23,39.48217317
15880,0,41.01511335
31960,14,33.74718398
3440,4,42
11280,1,41.85815603
30040,12,33.61784288
2200,5,42
4120,6,42
27680,23,37.71242775
13240,7,41.68882175
30720,13,30.54947917
33640,8,40.37931034
36040,9,25.39733629
19280,0,41.39626556
39040,16,33.65368852
33400,10,17.16167665
34720,15,26.88248848
36400,16,35.11098901
11720,1,41.88737201
30360,17,37.37681159
31440,18,34.68447837
7960,2,42
34600,19,30.62312139
32280,20,32.58859975
6000,3,42
32680,21,31.25948592
36840,17,35.76547231
31160,22,35.54043646
25560,15,36.86697966
3280,4,42
30440,18,37.23390276
2520,5,42
4160,6,42
22200,16,39.51711712
28040,22,32.39229672
25240,19,38.00158479
8920,7,42
19880,8,41.60160966
23200,9,40.96034483
25800,20,36.49457364
28920,10,39.62378976
34560,11,38.18171296
23520,21,39.30782313
35160,12,32.86120592
38200,13,30.88481675
18760,17,42.12153518
22880,22,38.88811189
38760,14,33.3880289
39120,15,31.98466258
22360,23,39.45974955
19240,18,41.85654886
16160,0,42.81930693
11880,1,43
20560,19,40.66536965
22360,23,37.50626118
10600,2,42.86415094
7440,3,43
23160,20,38.69084629
4520,4,42.85840708
13320,0,41.15015015
4000,5,43
3960,6,43
5120,7,43
23000,21,39.8573913
8360,8,43
10040,9,42.71314741
18040,22,41.23946785
14480,10,42.2320442
17600,11,41.20681818
8520,1,42
16720,23,43.01913876
21880,12,40.44424132
26760,13,36.92376682
26320,14,35.37082067
13960,0,42.61604585
4840,2,42
9560,1,43
5360,2,43
3480,3,43
2400,4,43
1960,5,43
4080,6,43
11640,7,42.74914089
33960,8,38.68080094
38720,9,20.18078512
32480,10,13.46428571
33080,11,30.12575574
30000,12,33.44666667
30280,13,33.49009247
31680,14,34.56313131
35640,15,27.02581369
32440,16,31.07891492
30240,17,33.27116402
30040,18,31.99467377
29720,19,20.93674293
32160,20,24.07960199
31120,21,25.07583548
